State,District,Route
WEST BENGAL,Kolkata,"Alipore H.O,Kolkata Dist:Kolkata,WB"
WEST BENGAL,Kolkata,"Barabazar H.O,Kolkata Dist:Kolkata,WB"
WEST BENGAL,North 24 Parganas,"Abad Kuliadanga B.O,Kuliadanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Abdalpur S.O,Amdanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Adampur B.O,Adampur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Adhata B.O,Adhata Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Adikashimpur B.O,Adhikashimpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Aharampur B.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ajijnagar B.O,Ajijnagar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Akaipur B.O,Akaipur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Akandakeshari B.O,Akandakeshari Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Akrampur B.O,Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Amankandi B.O,Amandikandi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Amberia B.O,Amberia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ambikapur Mamudpur B.O,Ambikapur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Amdobe B.O,Amdobe Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Amodpur B.O,Amodpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Amta B.O,Amta Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Amudia B.O,Amudia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Andharmanik B.O,Baduria Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Angrail B.O,Angrail Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Arbelia B.O,Basirhat - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Arkhali Amdanga S.O,Amdanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Asharu B.O,Asharu Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Asoknagar R/s S.O,Habra - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Asoknagar S.O,Habra - II Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Atapur B.O,Atapur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Atghara B.O,Atghara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Atpukur B.O,Atpukur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Aturia B.O,Aturia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Badartala B.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Badu S.O (North 24 Parganas),Barasat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Baduria S.O,Baduria Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bagangram B.O,Bagangram Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bagdah S.O,Bagdah Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bagu B.O,Bagu Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bahangatushkhali B.O,Bhangatushkhali Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Baidyapur B.O,Baidyapur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Baikara B.O,Baikara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bairampur B.O,Bairampur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bajitpur B.O,Bajitpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bakra  Dabar B.O,Bakra Dabar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Baksha B.O,Baksha Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Baliadanga B.O,Baliadanga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Balisha Chowmatha B.O,Balisha Chowmatha Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Ballavpur B.O,Ballavpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Balti B.O,Balti Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bamangachi B.O,Bamangachi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bamanibad B.O,Bamanibad Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bamanpukur B.O,Bamanpukur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Baneswarpur B.O,Baneswarpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bangaon Bazar S.O,Bongaon Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bangaon RS S.O,Bongaon Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bangaon S.O (North 24 Parganas),Bangaon Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Banglani B.O,Banglani Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Banipur S.O (North 24 Parganas),Habra - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bankra B.O,Bankra Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Banshtala B.O,Banshtala Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Barabankra B.O,Barabankra Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Barasat Bazar S.O,Barasat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Barasat H.O,Barasat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Barghorai B.O,Barghorai Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Barrackpore Sripalli B.O,Barrackpore Sripalli Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Barunhat B.O,Barunhat Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Basirhat Bazar S.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Basirhat College S.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Basirhat H.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Basirhat RS B.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Beara B.O,Beara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bechra Mohanpur B.O,Mohanpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Begumpur B.O,Begumpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Beliaghata Bridge B.O,Deganga Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Belpur B.O,Belpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Belta B.O,Belta Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bena B.O,Bena Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Beraberi B.O,Beraberi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Berbari B.O,Berabari Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bergoom B.O,Bergoom Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bermajur B.O,Bermajur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhabanipur B.O,Bhabanipur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhabla S.O,Basirhat - I Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhaduria B.O,Bhaduria Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhagyamantapur B.O,Bhagyamantapur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhanderkhali B.O,Bhanderkhali Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhanderkhola B.O,Bhanderkhola Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bharatpur B.O,Bharatpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhasila B.O,Bhasila Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhawanipur B.O,Bhawanipur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhebia S.O,Basirhat Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhojpara B.O,Baduria Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bhurkunda B.O,Bhurkunda Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bira Ballavepara S.O,Bira Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Biramnagar B.O,Biramnagar Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bishpur B.O,Bishpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bithari B.O,Bithari Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Boaldah B.O,Boaldah Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bodai B.O,Bodai Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bohara B.O,Bohara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Bowthakurani B.O,Bowthakurani Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Boyermari B.O,Boyermari Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Boyra B.O,Boyra Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Buruj B.O,Buruj Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chaigharia B.O,Chaigharia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chaita B.O,Chaita Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chaital B.O,Chaital Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chakla B.O,Chakla Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chakpatli B.O,Chakpatli Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Champaberia S.O,Bongaon Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Champapukur S.O,Basirhat Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chand Para Bazar S.O,Chandpara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chandanpur B.O,Hingalganj Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chandipur B.O,Chandipur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chandpur B.O,Rajarhat Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chandpur B.O,Chjandpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chandpur B.O,Chandpur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Charghat B.O,Charghat Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chekati B.O,Chekati Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chhoto Jagulia S.O,Chhoto Jagulia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chikanpara B.O,Chikanpara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chimta Kachari B.O,Chimta Kachari Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chorashi B.O,Chorashi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Choto Sahebkhali B.O,Choto Sahebkhali Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Choto Sehara B.O,Choto Sehara Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chowberia B.O,Chowberia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Chowhata B.O,Chowhata Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Colony Ramchandra Pur B.O,Ramchandra Pur Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Colony Simulia B.O,Colony Simulia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Dakshin Akratola B.O,Akratola Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Dakshin Bagundi B.O,Bagundi Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Dakshin Bhebia B.O,Bhebia Dist:North 24 Parganas,WB"
WEST BENGAL,North 24 Parganas,"Dakshin Chatra S.O,Chatra Dist:North 24 Parganas,WB"
